City and County of the City of London,E09000001
Barking and Dagenham London Boro,E09000002
Barnet London Boro,E09000003
Bexley London Boro,E09000004
Brent London Boro,E09000005
Bromley London Boro,E09000006
Camden London Boro,E09000007
Croydon London Boro,E09000008
Ealing London Boro,E09000009
Enfield London Boro,E09000010
Greenwich London Boro,E09000011
Hackney London Boro,E09000012
Hammersmith and Fulham London Boro,E09000013
Haringey London Boro,E09000014
Harrow London Boro,E09000015
Havering London Boro,E09000016
Hillingdon London Boro,E09000017
Hounslow London Boro,E09000018
Islington London Boro,E09000019
Kensington and Chelsea London Boro,E09000020
Kingston upon Thames London Boro,E09000021
Lambeth London Boro,E09000022
Lewisham London Boro,E09000023
Merton London Boro,E09000024
Newham London Boro,E09000025
Redbridge London Boro,E09000026
Richmond upon Thames London Boro,E09000027
Southwark London Boro,E09000028
Sutton London Boro,E09000029
Tower Hamlets London Boro,E09000030
Waltham Forest London Boro,E09000031
Wandsworth London Boro,E09000032
City of Westminster London Boro,E09000033
